"disease","gene","expression"
"COVID-19","CCNA2",7.2524649375785
"COVID-19","BIRC5",7.77718631962398
"COVID-19","BUB1B",6.01216052295696
"COVID-19","KIF2C",6.70165730685624
"COVID-19","MELK",5.74087544425434
"COVID-19","TTK",6.25231735274897
"COVID-19","CCNA2",8.47750865693243
"COVID-19","BIRC5",8.72852692395731
"COVID-19","BUB1B",7.26603022189814
"COVID-19","KIF2C",7.8367186215484
"COVID-19","MELK",7.60880349220676
"COVID-19","TTK",5.2360775380163
"COVID-19","CCNA2",5.18878357002122
"COVID-19","BIRC5",5.52201256807324
"COVID-19","BUB1B",5.65938501330967
"COVID-19","KIF2C",5.52201256807324
"COVID-19","MELK",5.32512597305853
"COVID-19","TTK",4.84330889139661
"COVID-19","CCNA2",5.22732642114806
"COVID-19","BIRC5",4.96839313868137
"COVID-19","BUB1B",5.22732642114806
"COVID-19","KIF2C",5.39826329454372
"COVID-19","MELK",4.84330889139661
"COVID-19","TTK",5.22274487696537
"COVID-19","CCNA2",5.22274487696537
"COVID-19","BIRC5",5.64484803555332
"COVID-19","BUB1B",5.45229389057222
"COVID-19","KIF2C",5.35938295371144
"COVID-19","MELK",5.02435887232192
"COVID-19","TTK",5.15744481505098
"COVID-19","CCNA2",6.05113203446764
"COVID-19","BIRC5",6.43333679067315
"COVID-19","BUB1B",5.51145802586843
"COVID-19","KIF2C",6.05113203446764
"COVID-19","MELK",5.73483966552366
"COVID-19","TTK",5.40779308005826
"COVID-19","CCNA2",5.77895969279951
"COVID-19","BIRC5",5.93043885172241
"COVID-19","BUB1B",5.37110202403184
"COVID-19","KIF2C",6.0224945088629
"COVID-19","MELK",5.51155859131021
"COVID-19","TTK",5.13865922834374
"COVID-19","CCNA2",5.74027117817473
"COVID-19","BIRC5",5.98061763530353
"COVID-19","BUB1B",5.84180122065359
"COVID-19","KIF2C",5.37461686026664
"COVID-19","MELK",4.77498071324576
"Healthy_Flu","TTK",4.637705891
"Healthy_Flu","CCNA2",4.836643132
"Healthy_Flu","BIRC5",4.095605595
"Healthy_Flu","BUB1B",4.562070305
"Healthy_Flu","KIF2C",4.617986022
"Healthy_Flu","MELK",3.915138028
"Influenza","TTK",4.520724548
"Influenza","CCNA2",5.543375593
"Influenza","BIRC5",4.101825637
"Influenza","BUB1B",4.693484868
"Influenza","KIF2C",4.057578016
"Influenza","MELK",4.827908154
"Influenza","TTK",5.563073214
"Influenza","CCNA2",6.274727437
"Influenza","BIRC5",5.828833627
"Influenza","BUB1B",5.077294599
"Influenza","KIF2C",5.290731016
"Influenza","MELK",5.324919506
"Influenza","TTK",3.727780579
"Influenza","CCNA2",10.91424092
"Influenza","BIRC5",12.12121262
"Influenza","BUB1B",4.419526766
"Influenza","KIF2C",4.980630737
"Influenza","MELK",4.483019528
"Influenza","TTK",4.357597439
"Influenza","CCNA2",4.784706836
"Influenza","BIRC5",4.83547239
"Influenza","BUB1B",4.573996687
"Influenza","KIF2C",4.954164125
"Influenza","MELK",4.936346427
"Influenza","TTK",4.96076051
"Influenza","CCNA2",5.407486399
"Influenza","BIRC5",5.156851665
"Influenza","BUB1B",4.656012456
"Influenza","KIF2C",4.92661027
"Influenza","MELK",5.046271629
"Healthy_Flu","TTK",4.794208073
"Healthy_Flu","CCNA2",4.738221285
"Healthy_Flu","BIRC5",4.39389475
"Healthy_Flu","BUB1B",4.051766089
"Healthy_Flu","KIF2C",4.24723526
"Healthy_Flu","MELK",4.436286995
"Healthy_Flu","TTK",4.74472338
"Healthy_Flu","CCNA2",4.672047492
"Healthy_Flu","BIRC5",4.819194578
"Healthy_Flu","BUB1B",4.217129892
"Healthy_Flu","KIF2C",4.113502072
"Healthy_Flu","MELK",4.785579319
"Influenza","TTK",5.711327564
"Influenza","CCNA2",6.295134978
"Influenza","BIRC5",5.840973155
"Influenza","BUB1B",5.1577934
"Influenza","KIF2C",5.675337248
"Influenza","MELK",5.434601679
"Influenza","TTK",4.365918445
"Influenza","CCNA2",5.078617349
"Influenza","BIRC5",4.675637887
"Influenza","BUB1B",4.196857797
"Influenza","KIF2C",4.957520539
"Influenza","MELK",4.112709123
"Healthy_Flu","TTK",4.467234269
"Healthy_Flu","CCNA2",5.14179188
"Healthy_Flu","BIRC5",5.015736726
"Healthy_Flu","BUB1B",4.661960472
"Healthy_Flu","KIF2C",4.319467616
"Healthy_Flu","MELK",4.257950912
"Healthy_Flu","TTK",4.968615524
"Healthy_Flu","CCNA2",4.587458938
"Healthy_Flu","BIRC5",4.996911772
"Healthy_Flu","BUB1B",3.948632142
"Healthy_Flu","KIF2C",4.468980694
"Healthy_Flu","MELK",4.87966341
"Influenza","TTK",4.998683493
"Influenza","CCNA2",4.83783751
"Influenza","BIRC5",4.536767447
"Influenza","BUB1B",5.478927142
"Influenza","KIF2C",3.850951361
"Influenza","MELK",4.234128311
"Healthy_Flu","TTK",4.566361592
"Healthy_Flu","CCNA2",5.331877368
"Healthy_Flu","BIRC5",4.561369937
"Healthy_Flu","BUB1B",4.880901896
"Healthy_Flu","KIF2C",4.479483002
"Healthy_Flu","MELK",4.244293407
"Influenza","TTK",4.806138315
"Influenza","CCNA2",5.178575848
"Influenza","BIRC5",5.347999575
"Influenza","BUB1B",4.368104843
"Influenza","KIF2C",4.359872173
"Influenza","MELK",4.684283473
"Influenza","TTK",5.060635197
"Influenza","CCNA2",6.615954026
"Influenza","BIRC5",4.769229287
"Influenza","BUB1B",4.396465812
"Influenza","KIF2C",4.836933331
"Influenza","MELK",5.122722845
"Healthy_Flu","TTK",4.099660106
"Healthy_Flu","CCNA2",4.823874567
"Healthy_Flu","BIRC5",5.049273573
"Healthy_Flu","BUB1B",4.59229292
"Healthy_Flu","KIF2C",4.230965362
"Healthy_Flu","MELK",4.244720552
"Healthy_Flu","TTK",4.422571473
"Healthy_Flu","CCNA2",5.439134165
"Healthy_Flu","BIRC5",4.487058349
"Healthy_Flu","BUB1B",4.762616951
"Healthy_Flu","KIF2C",4.473144328
"Healthy_Flu","MELK",3.808115557
"Influenza","TTK",5.1577934
"Influenza","CCNA2",5.859891383
"Influenza","BIRC5",5.603090962
"Influenza","BUB1B",4.525234702
"Influenza","KIF2C",4.532064738
"Influenza","MELK",5.213299373
"Influenza","TTK",4.69982357
"Influenza","CCNA2",5.647159285
"Influenza","BIRC5",4.613697415
"Influenza","BUB1B",4.948920379
"Influenza","KIF2C",4.673923177
"Influenza","MELK",4.766993217
"Healthy_Flu","TTK",4.798456531
"Healthy_Flu","CCNA2",4.885880101
"Healthy_Flu","BIRC5",4.518195597
"Healthy_Flu","BUB1B",4.710823145
"Healthy_Flu","KIF2C",4.607354483
"Healthy_Flu","MELK",4.544437868
"Influenza","TTK",4.952876207
"Influenza","CCNA2",5.139368603
"Influenza","BIRC5",4.795071877
"Influenza","BUB1B",4.537302524
"Influenza","KIF2C",4.146921147
"Influenza","MELK",4.303186395
"Influenza","TTK",4.981905281
"Influenza","CCNA2",5.173341346
"Influenza","BIRC5",4.671167475
"Influenza","BUB1B",5.061622735
"Influenza","KIF2C",4.753567014
"Influenza","MELK",4.772991515
"Healthy_Flu","TTK",4.816660279
"Healthy_Flu","CCNA2",4.770078519
"Healthy_Flu","BIRC5",4.330012958
"Healthy_Flu","BUB1B",4.496738706
"Healthy_Flu","KIF2C",4.426111335
"Healthy_Flu","MELK",4.330012958
"Influenza","TTK",5.241731362
"Influenza","CCNA2",5.850679217
"Influenza","BIRC5",4.879122685
"Influenza","BUB1B",5.128596437
"Influenza","KIF2C",5.032519517
"Influenza","MELK",4.584667937
"Healthy_Flu","TTK",5.110775223
"Healthy_Flu","CCNA2",4.99852435
"Healthy_Flu","BIRC5",4.764323171
"Healthy_Flu","BUB1B",5.047294005
"Healthy_Flu","KIF2C",4.464482834
"Healthy_Flu","MELK",4.798915214
"Influenza","TTK",4.258157798
"Influenza","CCNA2",5.062168456
"Influenza","BIRC5",4.62348076
"Influenza","BUB1B",4.482334911
"Influenza","KIF2C",5.492206971
"Influenza","MELK",4.053244545
"Healthy_Flu","TTK",4.390732556
"Healthy_Flu","CCNA2",4.810376103
"Healthy_Flu","BIRC5",4.289701506
"Healthy_Flu","BUB1B",3.902020462
"Healthy_Flu","KIF2C",4.321879489
"Healthy_Flu","MELK",4.398468295
"Influenza","TTK",5.177125967
"Influenza","CCNA2",5.748290376
"Influenza","BIRC5",5.272507826
"Influenza","BUB1B",5.048662353
"Influenza","KIF2C",4.743828027
"Influenza","MELK",5.317043072
"Influenza","TTK",5.30247356
"Influenza","CCNA2",6.303454938
"Influenza","BIRC5",5.573896209
"Influenza","BUB1B",4.934039553
"Influenza","KIF2C",5.548904236
"Influenza","MELK",5.58585902
"Influenza","TTK",5.404055522
"Influenza","CCNA2",5.647718467
"Influenza","BIRC5",5.145068101
"Influenza","BUB1B",4.587177517
"Influenza","KIF2C",4.411036637
"Influenza","MELK",5.513542069
"Influenza","TTK",5.091541052
"Influenza","CCNA2",5.565522044
"Influenza","BIRC5",5.350707732
"Influenza","BUB1B",5.078044334
"Influenza","KIF2C",5.04049162
"Influenza","MELK",4.57678309
"Influenza","TTK",4.974566806
"Influenza","CCNA2",6.022745572
"Influenza","BIRC5",5.409220207
"Influenza","BUB1B",5.409220207
"Influenza","KIF2C",5.431884266
"Influenza","MELK",5.268851369
"Healthy_Flu","TTK",4.51447286
"Healthy_Flu","CCNA2",5.022624378
"Healthy_Flu","BIRC5",4.571825688
"Healthy_Flu","BUB1B",4.741623713
"Healthy_Flu","KIF2C",4.208844808
"Healthy_Flu","MELK",4.241967142
"Healthy_Flu","TTK",4.324262572
"Healthy_Flu","CCNA2",5.194458307
"Healthy_Flu","BIRC5",4.52098212
"Healthy_Flu","BUB1B",4.586189403
"Healthy_Flu","KIF2C",4.22026637
"Healthy_Flu","MELK",4.658914235
"Healthy_Flu","TTK",4.695118883
"Healthy_Flu","CCNA2",4.669072249
"Healthy_Flu","BIRC5",4.146965731
"Healthy_Flu","BUB1B",4.49741747
"Healthy_Flu","KIF2C",4.649494413
"Healthy_Flu","MELK",4.345345698
"Healthy_Flu","TTK",4.422167527
"Healthy_Flu","CCNA2",5.154377368
"Healthy_Flu","BIRC5",3.754626195
"Healthy_Flu","BUB1B",4.656131777
"Healthy_Flu","KIF2C",4.197062886
"Healthy_Flu","MELK",4.733371147
"Healthy_Flu","TTK",5.201302516
"Healthy_Flu","CCNA2",4.877772271
"Healthy_Flu","BIRC5",4.715922176
"Healthy_Flu","BUB1B",3.745658335
"Healthy_Flu","KIF2C",4.688884799
"Healthy_Flu","MELK",4.020829382
"Influenza","TTK",5.321215603
"Influenza","CCNA2",6.366379899
"Influenza","BIRC5",6.116924029
"Influenza","BUB1B",5.054969266
"Influenza","KIF2C",5.47720448
"Influenza","MELK",5.422837232
"Healthy_Flu","TTK",4.318451826
"Healthy_Flu","CCNA2",4.518295627
"Healthy_Flu","BIRC5",3.912209778
"Healthy_Flu","BUB1B",4.576142799
"Healthy_Flu","KIF2C",4.246959949
"Healthy_Flu","MELK",4.599428093
"Influenza","TTK",4.405493176
"Influenza","CCNA2",5.209487534
"Influenza","BIRC5",4.926997557
"Influenza","BUB1B",4.50215079
"Influenza","KIF2C",4.835724997
"Influenza","MELK",4.855454429
"Influenza","TTK",5.797685025
"Influenza","CCNA2",6.906126019
"Influenza","BIRC5",5.678417561
"Influenza","BUB1B",4.883792781
"Influenza","KIF2C",5.790087029
"Influenza","MELK",5.652463284
"Influenza","TTK",4.887126144
"Influenza","CCNA2",5.686074871
"Influenza","BIRC5",5.570661398
"Influenza","BUB1B",4.704873448
"Influenza","KIF2C",5.182798104
"Influenza","MELK",5.179535849
"Influenza","TTK",4.947221971
"Influenza","CCNA2",6.141595974
"Influenza","BIRC5",5.08135821
"Influenza","BUB1B",4.461242329
"Influenza","KIF2C",5.039953213
"Influenza","MELK",4.51438529
"Influenza","TTK",5.455821659
"Influenza","CCNA2",6.056295934
"Influenza","BIRC5",5.504339173
"Influenza","BUB1B",5.206763555
"Influenza","KIF2C",5.472299363
"Influenza","MELK",5.460878345
"Influenza","TTK",4.91959343
"Influenza","CCNA2",4.793410033
"Influenza","BIRC5",4.738391828
"Influenza","BUB1B",4.798608125
"Influenza","KIF2C",4.900012327
"Influenza","MELK",4.680179554
"Healthy_Flu","TTK",4.467494179
"Healthy_Flu","CCNA2",5.10059783
"Healthy_Flu","BIRC5",4.574175815
"Healthy_Flu","BUB1B",4.670628273
"Healthy_Flu","KIF2C",4.473707579
"Healthy_Flu","MELK",4.913460664
"Healthy_Flu","TTK",4.922236732
"Healthy_Flu","CCNA2",5.453029635
"Healthy_Flu","BIRC5",4.888073053
"Healthy_Flu","BUB1B",4.81406433
"Healthy_Flu","KIF2C",4.70516698
"Healthy_Flu","MELK",4.636303115
"Influenza","TTK",5.315342429
"Influenza","CCNA2",6.597307116
"Influenza","BIRC5",5.271869113
"Influenza","BUB1B",4.702117259
"Influenza","KIF2C",4.855314976
"Influenza","MELK",5.587599422
"Healthy_Flu","TTK",4.447099615
"Healthy_Flu","CCNA2",4.98532866
"Healthy_Flu","BIRC5",2.901891736
"Healthy_Flu","BUB1B",4.119588824
"Healthy_Flu","KIF2C",4.279065376
"Healthy_Flu","MELK",4.727582088
"Influenza","TTK",4.767671466
"Influenza","CCNA2",4.789498953
"Influenza","BIRC5",3.510779407
"Influenza","BUB1B",4.415786818
"Influenza","KIF2C",4.241051608
"Influenza","MELK",4.798692125
"Influenza","TTK",4.805638516
"Influenza","CCNA2",5.591670275
"Influenza","BIRC5",5.116730211
"Influenza","BUB1B",4.692483309
"Influenza","KIF2C",5.492206971
"Influenza","MELK",5.406419734
"Influenza","TTK",5.270535947
"Influenza","CCNA2",5.759152061
"Influenza","BIRC5",6.061999164
"Influenza","BUB1B",5.278043228
"Influenza","KIF2C",5.525354517
"Influenza","MELK",5.711327564
"Healthy_Flu","TTK",4.284854544
"Healthy_Flu","CCNA2",4.961333474
"Healthy_Flu","BIRC5",4.574122052
"Healthy_Flu","BUB1B",5.010866357
"Healthy_Flu","KIF2C",4.327596633
"Healthy_Flu","MELK",4.535623784
"Healthy_Flu","TTK",4.403379466
"Healthy_Flu","CCNA2",5.024039341
"Healthy_Flu","BIRC5",4.527512108
"Healthy_Flu","BUB1B",4.957473358
"Healthy_Flu","KIF2C",4.579946643
"Healthy_Flu","MELK",4.335175395
"Healthy_Flu","TTK",4.704475735
"Healthy_Flu","CCNA2",5.517852515
"Healthy_Flu","BIRC5",4.672035724
"Healthy_Flu","BUB1B",4.861507636
"Healthy_Flu","KIF2C",4.314223375
"Healthy_Flu","MELK",4.13708281
"Healthy_Flu","TTK",4.785983525
"Healthy_Flu","CCNA2",4.970209293
"Healthy_Flu","BIRC5",4.308796016
"Healthy_Flu","BUB1B",5.163201735
"Healthy_Flu","KIF2C",4.456627345
"Healthy_Flu","MELK",4.496751068
"Healthy_Flu","TTK",4.127593116
"Healthy_Flu","CCNA2",5.135894431
"Healthy_Flu","BIRC5",4.225841293
"Healthy_Flu","BUB1B",4.944871529
"Healthy_Flu","KIF2C",3.610377734
"Healthy_Flu","MELK",4.625536233
"Influenza","TTK",5.318263773
"Influenza","CCNA2",5.810486224
"Influenza","BIRC5",5.051623357
"Influenza","BUB1B",5.057827121
"Influenza","KIF2C",4.808618117
"Influenza","MELK",5.441614514
"Healthy_Flu","TTK",4.176756258
"Healthy_Flu","CCNA2",5.001087273
"Healthy_Flu","BIRC5",4.278416808
"Healthy_Flu","BUB1B",5.074676374
"Healthy_Flu","KIF2C",4.315158714
"Healthy_Flu","MELK",4.337655087
"Healthy_Flu","TTK",4.546106183
"Healthy_Flu","CCNA2",4.695350856
"Healthy_Flu","BIRC5",4.433693052
"Healthy_Flu","BUB1B",4.829696912
"Healthy_Flu","KIF2C",4.471483625
"Healthy_Flu","MELK",4.047992349
"Influenza","TTK",4.636053223
"Influenza","CCNA2",5.030331157
"Influenza","BIRC5",4.467222004
"Influenza","BUB1B",4.485069465
"Influenza","KIF2C",4.67284653
"Influenza","MELK",4.534149589
"Influenza","TTK",4.883117902
"Influenza","CCNA2",5.120894942
"Influenza","BIRC5",4.489563331
"Influenza","BUB1B",5.232479377
"Influenza","KIF2C",4.530886333
"Influenza","MELK",4.518456243
"Influenza","TTK",5.691454443
"Influenza","CCNA2",5.265871079
"Influenza","BIRC5",4.352053305
"Influenza","BUB1B",4.376562884
"Influenza","KIF2C",4.660492529
"Influenza","MELK",4.687495492
"Healthy_Flu","TTK",4.916060012
"Healthy_Flu","CCNA2",4.695357808
"Healthy_Flu","BIRC5",4.669553104
"Healthy_Flu","BUB1B",4.701765207
"Healthy_Flu","KIF2C",4.463594024
"Healthy_Flu","MELK",4.936973216
"Healthy_Flu","TTK",5.001928327
"Healthy_Flu","CCNA2",4.945826946
"Healthy_Flu","BIRC5",4.652469374
"Healthy_Flu","BUB1B",4.825499401
"Healthy_Flu","KIF2C",4.405353196
"Healthy_Flu","MELK",5.011773677
"Influenza","TTK",5.251614392
"Influenza","CCNA2",5.853211872
"Influenza","BIRC5",4.642639407
"Influenza","BUB1B",5.315205035
