Top 10 in network string_interactions_short.tsv ranked by MCC method
Rank,Name,Score
1,CDC45,2.118176633238185E90
1,SPAG5,2.118176633238185E90
1,TTK,2.118176633238185E90
1,CCNA2,2.118176633238185E90
1,BIRC5,2.118176633238185E90
1,BUB1B,2.118176633238185E90
1,PBK,2.118176633238185E90
1,CDK1,2.118176633238185E90
1,KIF2C,2.118176633238185E90
1,MELK,2.118176633238185E90
