#node	identifier	node_degree
PHGDH	9606.ENSP00000493382	20
PIF1	9606.ENSP00000328174	37
PIMREG	9606.ENSP00000250056	85
PIR	9606.ENSP00000369786	1
PKMYT1	9606.ENSP00000262300	76
PLK1	9606.ENSP00000300093	115
PLK4	9606.ENSP00000270861	106
POC1A	9606.ENSP00000296484	41
POLE2	9606.ENSP00000216367	78
POLQ	9606.ENSP00000264233	56
PRDX4	9606.ENSP00000368646	7
PSAT1	9606.ENSP00000365773	6
PTTG1	9606.ENSP00000377536	110
PYCR1	9606.ENSP00000384949	3
RAD51	9606.ENSP00000493712	117
RAD51AP1	9606.ENSP00000228843	110
RAD54L	9606.ENSP00000361043	111
RECQL4	9606.ENSP00000482313	57
RMI2	9606.ENSP00000310356	34
RNASE1	9606.ENSP00000381057	0
RRM2	9606.ENSP00000353770	122
RTN1	9606.ENSP00000267484	1
SDC1	9606.ENSP00000370542	9
SDF2L1	9606.ENSP00000248958	7
SEC11C	9606.ENSP00000468633	1
SGO1	9606.ENSP00000263753	95
SHCBP1	9606.ENSP00000306473	104
SKA1	9606.ENSP00000285116	101
SKA3	9606.ENSP00000319417	106
SLC16A14	9606.ENSP00000295190	0
SLC2A5	9606.ENSP00000366641	0
SLC38A5	9606.ENSP00000471683	0
SLCO4A1	9606.ENSP00000217159	0
SPAG5	9606.ENSP00000323300	114
SPATS2	9606.ENSP00000448228	0
SPC24	9606.ENSP00000465075	68
SPC25	9606.ENSP00000282074	103
STIL	9606.ENSP00000360944	70
STMN1	9606.ENSP00000410452	24
STRIP2	9606.ENSP00000249344	0
TEDC2	9606.ENSP00000355022	8
TGFBR1	9606.ENSP00000447297	2
TICRR	9606.ENSP00000268138	91
TK1	9606.ENSP00000468425	107
TNFRSF17	9606.ENSP00000053243	10
TOP2A	9606.ENSP00000411532	127
TPX2	9606.ENSP00000300403	114
TRIP13	9606.ENSP00000166345	113
TROAP	9606.ENSP00000257909	83
TSHR	9606.ENSP00000441235	3
TTK	9606.ENSP00000358813	120
TXNDC5	9606.ENSP00000369081	9
TYMS	9606.ENSP00000315644	112
UBE2C	9606.ENSP00000348838	119
UBE2T	9606.ENSP00000494957	99
UCHL1	9606.ENSP00000284440	3
UHRF1	9606.ENSP00000479617	99
WDR34	9606.ENSP00000361800	0
WDR62	9606.ENSP00000384792	11
ZNF419	9606.ENSP00000388864	0
ZNF543	9606.ENSP00000322545	0
ZWINT	9606.ENSP00000363055	107
